,art_no,art_name,hierarchy_level2_desc,hierarchy_level3_desc,date_of_day,store_count,sold_qty_units,total_cust_count,low_stock_warning,unit_price_weekly,unit_discount_weekly
86,10,Meat Sauce,Broth_Products,Soup_Broth_Products,2019-08-29,24,94.0,32,0,0.64,0.0
1443,23,25g Pistachios Chopped,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-08-29,45,147.0,72,0,3.28,-0.0
632,1,1kg Meat Sauce,Broth_Products,Soup_Broth_Products,2019-08-29,27,44.0,38,0,15.98,-0.01
1594,15,500g Penne,Extras,Dough,2019-08-29,49,262.0,143,0,1.79,-0.0
441,9,Spiced Salt for Meat,Spices,Spices I,2019-08-29,6,6.0,6,0,6.74,-0.25
2127,8,40g Chilli Pepper,Spices,Spices I,2019-08-29,2,3.0,3,0,2.49,0.0
1285,14,Fine Mushroom Sauce,Broth_Products,Soup_Broth_Products,2019-08-29,36,131.0,56,0,0.67,-0.02
325,7,30g Bio Thyme,Spices,Spices II,2019-08-29,27,46.0,42,0,2.91,0.0
2299,20,420g Baking Powder,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-08-29,2,2.0,2,1,4.19,0.0
1883,16,500g Spaghetti,Extras,Dough,2019-08-29,52,435.0,214,0,1.78,-0.01
998,21,80g Granulated Onion,Spices,Spices II,2019-09-05,42,97.0,88,0,2.88,-0.01
278,6,80g Bio Pepper Whole,Spices,Spices II,2019-09-05,35,71.0,62,0,3.88,0.0
1319,14,Fine Mushroom Sauce,Broth_Products,Soup_Broth_Products,2019-09-05,32,157.0,56,0,0.64,0.0
56,10,Meat Sauce,Broth_Products,Soup_Broth_Products,2019-09-05,36,130.0,54,0,0.64,0.0
2401,17,125g Dark Chocolate,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-09-05,52,349.0,176,0,1.25,-0.04
1961,25,150g Chocolate Coatings,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-09-05,40,173.0,87,0,1.88,-0.0
1600,15,500g Penne,Extras,Dough,2019-09-05,47,180.0,109,0,1.83,-0.02
2502,2,Pasta Penne,Broth_Products,Soup_Broth_Products,2019-09-05,26,83.0,34,0,0.81,-0.01
1755,4,500g Speciality Pasta,Extras,Dough,2019-09-05,56,269.0,174,0,1.47,-0.0
339,7,30g Bio Thyme,Spices,Spices II,2019-09-05,27,43.0,40,0,2.91,0.0
155,13,500g Indian Curry,Spices,Spices I,2019-09-05,63,130.0,116,0,6.75,-0.0
836,3,200g Chocolate Crumble,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-09-05,41,124.0,79,0,1.2,-0.01
1445,23,25g Pistachios Chopped,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-09-05,44,136.0,75,0,2.97,-0.02
2219,20,420g Baking Powder,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-09-05,3,3.0,3,0,4.11,-0.08
1868,16,500g Spaghetti,Extras,Dough,2019-09-05,54,375.0,209,0,1.85,-0.0
2117,8,40g Chilli Pepper,Spices,Spices I,2019-09-05,2,2.0,2,0,2.49,0.0
678,1,1kg Meat Sauce,Broth_Products,Soup_Broth_Products,2019-09-05,22,44.0,34,0,15.99,0.0
1146,12,45g Pasta,Spices,Spices II,2019-09-05,3,3.0,3,0,3.99,0.0
1150,5,30g Bio Savoury Spices,Spices,Spices II,2019-09-05,21,30.0,30,0,2.71,-0.01
443,9,Spiced Salt for Meat,Spices,Spices I,2019-09-05,6,6.0,6,0,6.99,0.0
592,18,Fix for Potato Gratin,Broth_Products,Soup_Broth_Products,2019-09-05,43,341.0,93,0,0.46,0.0
2609,22,500g Pasta Rigate,Extras,Dough,2019-09-05,31,148.0,99,0,2.77,-0.02
868,24,1kg Gnocchi,Extras,Dough,2019-09-05,21,73.0,46,0,2.99,0.0
2074,19,190g Chilli Flakes,Spices,Spices I,2019-09-05,27,39.0,35,0,6.79,0.0
1537,11,200g Green Pepper,Spices,Spices I,2019-09-05,27,47.0,39,0,13.49,0.0
1519,11,200g Green Pepper,Spices,Spices I,2019-09-12,23,36.0,29,0,13.49,0.0
777,3,200g Chocolate Crumble,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-09-12,43,148.0,98,0,1.2,-0.01
2607,22,500g Pasta Rigate,Extras,Dough,2019-09-12,32,213.0,140,0,1.87,-0.92
376,7,30g Bio Thyme,Spices,Spices II,2019-09-12,31,40.0,40,0,2.89,-0.02
601,18,Fix for Potato Gratin,Broth_Products,Soup_Broth_Products,2019-09-12,23,88.0,29,0,0.8,-0.0
2020,19,190g Chilli Flakes,Spices,Spices I,2019-09-12,20,29.0,26,0,6.79,0.0
2484,2,Pasta Penne,Broth_Products,Soup_Broth_Products,2019-09-12,44,213.0,88,0,0.46,0.0
1633,15,500g Penne,Extras,Dough,2019-09-12,60,1612.0,820,0,0.94,0.0
2374,17,125g Dark Chocolate,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-09-12,55,314.0,157,0,1.27,-0.02
2178,8,40g Chilli Pepper,Spices,Spices I,2019-09-12,2,4.0,4,0,2.49,0.0
1249,5,30g Bio Savoury Spices,Spices,Spices II,2019-09-12,23,32.0,29,0,2.72,0.0
1116,12,45g Pasta,Spices,Spices II,2019-09-12,1,1.0,1,1,3.99,0.0
876,24,1kg Gnocchi,Extras,Dough,2019-09-12,26,67.0,47,0,2.97,-0.02
682,1,1kg Meat Sauce,Broth_Products,Soup_Broth_Products,2019-09-12,29,58.0,44,0,15.98,-0.01
37,10,Meat Sauce,Broth_Products,Soup_Broth_Products,2019-09-12,20,44.0,23,0,0.89,-0.0
153,13,500g Indian Curry,Spices,Spices I,2019-09-12,64,139.0,116,0,6.62,0.0
1903,25,150g Chocolate Coatings,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-09-12,45,205.0,108,0,1.88,-0.01
1800,16,500g Spaghetti,Extras,Dough,2019-09-12,58,2707.0,1034,0,0.94,-0.0
523,9,Spiced Salt for Meat,Spices,Spices I,2019-09-12,3,3.0,3,1,6.99,0.0
1328,14,Fine Mushroom Sauce,Broth_Products,Soup_Broth_Products,2019-09-12,20,57.0,23,0,0.89,-0.0
2215,20,420g Baking Powder,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-09-12,5,9.0,6,0,4.19,0.0
236,6,80g Bio Pepper Whole,Spices,Spices II,2019-09-12,35,52.0,50,0,3.87,-0.01
1737,4,500g Speciality Pasta,Extras,Dough,2019-09-12,61,1635.0,879,0,0.64,-0.0
1448,23,25g Pistachios Chopped,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-09-12,47,171.0,88,0,2.98,-0.01
963,21,80g Granulated Onion,Spices,Spices II,2019-09-12,38,87.0,80,0,2.88,-0.01
561,18,Fix for Potato Gratin,Broth_Products,Soup_Broth_Products,2019-09-19,30,152.0,51,0,0.78,-0.0
1863,16,500g Spaghetti,Extras,Dough,2019-09-19,59,1830.0,757,0,0.94,0.0
451,9,Spiced Salt for Meat,Spices,Spices I,2019-09-19,3,3.0,3,1,6.99,0.0
2583,22,500g Pasta Rigate,Extras,Dough,2019-09-19,33,172.0,116,0,1.87,-0.92
1568,11,200g Green Pepper,Spices,Spices I,2019-09-19,36,54.0,49,0,13.25,-0.24
854,24,1kg Gnocchi,Extras,Dough,2019-09-19,20,64.0,40,0,2.99,0.0
2462,2,Pasta Penne,Broth_Products,Soup_Broth_Products,2019-09-19,19,51.0,21,0,0.81,-0.01
768,3,200g Chocolate Crumble,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-09-19,31,107.0,63,0,1.21,-0.0
2066,19,190g Chilli Flakes,Spices,Spices I,2019-09-19,12,17.0,15,0,6.75,-0.04
77,10,Meat Sauce,Broth_Products,Soup_Broth_Products,2019-09-19,25,61.0,28,0,0.88,-0.01
1721,4,500g Speciality Pasta,Extras,Dough,2019-09-19,58,1182.0,659,0,0.64,0.0
1100,12,45g Pasta,Spices,Spices II,2019-09-19,2,5.0,5,0,3.99,0.0
637,1,1kg Meat Sauce,Broth_Products,Soup_Broth_Products,2019-09-19,28,46.0,42,0,15.71,-0.28
162,13,500g Indian Curry,Spices,Spices I,2019-09-19,60,123.0,106,0,6.76,-0.03
2251,20,420g Baking Powder,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-09-19,5,6.0,6,0,4.15,-0.04
1171,5,30g Bio Savoury Spices,Spices,Spices II,2019-09-19,25,27.0,26,0,2.7,-0.02
415,7,30g Bio Thyme,Spices,Spices II,2019-09-19,32,44.0,42,0,2.89,-0.02
1266,14,Fine Mushroom Sauce,Broth_Products,Soup_Broth_Products,2019-09-19,25,66.0,35,0,0.88,-0.01
1978,25,150g Chocolate Coatings,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-09-19,35,166.0,76,0,1.82,-0.07
2106,8,40g Chilli Pepper,Spices,Spices I,2019-09-19,1,2.0,2,1,2.49,0.0
2338,17,125g Dark Chocolate,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-09-19,50,286.0,161,0,1.29,-0.0
1441,23,25g Pistachios Chopped,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-09-19,43,163.0,79,0,2.98,-0.01
285,6,80g Bio Pepper Whole,Spices,Spices II,2019-09-19,31,51.0,49,0,3.88,0.0
1608,15,500g Penne,Extras,Dough,2019-09-19,55,990.0,547,0,0.93,0.0
952,21,80g Granulated Onion,Spices,Spices II,2019-09-19,38,81.0,78,0,2.87,-0.02
2617,22,500g Pasta Rigate,Extras,Dough,2019-09-26,31,157.0,120,0,2.76,-0.03
2019,19,190g Chilli Flakes,Spices,Spices I,2019-09-26,17,25.0,21,0,6.11,-0.68
1312,14,Fine Mushroom Sauce,Broth_Products,Soup_Broth_Products,2019-09-26,43,208.0,91,0,0.64,0.0
331,7,30g Bio Thyme,Spices,Spices II,2019-09-26,34,62.0,59,0,2.88,-0.03
2222,20,420g Baking Powder,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-09-26,4,5.0,5,0,3.77,-0.42
505,9,Spiced Salt for Meat,Spices,Spices I,2019-09-26,4,6.0,5,0,6.8,-0.19
1068,12,45g Pasta,Spices,Spices II,2019-09-26,6,10.0,9,0,3.97,-0.02
628,18,Fix for Potato Gratin,Broth_Products,Soup_Broth_Products,2019-09-26,52,480.0,133,0,0.46,0.0
1603,15,500g Penne,Extras,Dough,2019-09-26,50,265.0,178,0,1.83,-0.02
260,6,80g Bio Pepper Whole,Spices,Spices II,2019-09-26,34,62.0,59,0,3.85,-0.03
2443,2,Pasta Penne,Broth_Products,Soup_Broth_Products,2019-09-26,25,96.0,38,0,0.74,-0.08
1440,23,25g Pistachios Chopped,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-09-26,49,206.0,97,0,2.97,-0.02
1885,25,150g Chocolate Coatings,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-09-26,47,219.0,108,0,1.85,-0.03
140,13,500g Indian Curry,Spices,Spices I,2019-09-26,65,134.0,122,0,6.57,-0.07
1785,16,500g Spaghetti,Extras,Dough,2019-09-26,56,523.0,286,0,1.82,-0.03
692,1,1kg Meat Sauce,Broth_Products,Soup_Broth_Products,2019-09-26,40,77.0,66,0,15.92,-0.07
2179,8,40g Chilli Pepper,Spices,Spices I,2019-09-26,4,5.0,5,0,2.49,0.0
44,10,Meat Sauce,Broth_Products,Soup_Broth_Products,2019-09-26,38,198.0,84,0,0.64,0.0
1512,11,200g Green Pepper,Spices,Spices I,2019-09-26,37,54.0,45,0,13.38,-0.11
976,21,80g Granulated Onion,Spices,Spices II,2019-09-26,45,114.0,108,0,2.86,-0.03
897,24,1kg Gnocchi,Extras,Dough,2019-09-26,21,70.0,42,0,2.96,-0.03
744,3,200g Chocolate Crumble,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-09-26,44,157.0,88,0,1.19,-0.02
2367,17,125g Dark Chocolate,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-09-26,53,363.0,187,0,1.28,-0.01
1725,4,500g Speciality Pasta,Extras,Dough,2019-09-26,55,272.0,187,0,1.45,-0.02
1159,5,30g Bio Savoury Spices,Spices,Spices II,2019-09-26,23,28.0,26,0,2.7,-0.02
2026,19,190g Chilli Flakes,Spices,Spices I,2019-10-03,20,27.0,24,0,6.11,-0.68
803,3,200g Chocolate Crumble,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-10-03,36,113.0,66,0,1.2,-0.01
2264,20,420g Baking Powder,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-10-03,3,5.0,5,0,3.77,-0.42
1118,12,45g Pasta,Spices,Spices II,2019-10-03,4,9.0,9,0,3.94,-0.05
1548,11,200g Green Pepper,Spices,Spices I,2019-10-03,29,48.0,37,0,13.49,0.0
1224,5,30g Bio Savoury Spices,Spices,Spices II,2019-10-03,29,45.0,44,0,2.71,-0.01
1840,16,500g Spaghetti,Extras,Dough,2019-10-03,56,428.0,193,0,1.84,-0.01
1684,4,500g Speciality Pasta,Extras,Dough,2019-10-03,49,178.0,134,0,1.46,-0.01
863,24,1kg Gnocchi,Extras,Dough,2019-10-03,19,65.0,36,0,2.98,-0.01
1402,23,25g Pistachios Chopped,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-10-03,42,135.0,76,0,2.98,-0.01
1653,15,500g Penne,Extras,Dough,2019-10-03,44,328.0,141,0,1.8,-0.05
1281,14,Fine Mushroom Sauce,Broth_Products,Soup_Broth_Products,2019-10-03,34,150.0,60,0,0.64,0.0
2381,17,125g Dark Chocolate,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-10-03,50,290.0,140,0,1.25,-0.04
2475,2,Pasta Penne,Broth_Products,Soup_Broth_Products,2019-10-03,27,81.0,32,0,0.72,-0.09
950,21,80g Granulated Onion,Spices,Spices II,2019-10-03,30,58.0,54,0,2.87,-0.02
2159,8,40g Chilli Pepper,Spices,Spices I,2019-10-03,3,9.0,8,0,2.49,0.0
1979,25,150g Chocolate Coatings,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-10-03,36,178.0,74,0,1.81,-0.08
2618,22,500g Pasta Rigate,Extras,Dough,2019-10-03,26,114.0,87,0,2.79,-0.0
74,10,Meat Sauce,Broth_Products,Soup_Broth_Products,2019-10-03,34,151.0,53,0,0.64,0.0
575,18,Fix for Potato Gratin,Broth_Products,Soup_Broth_Products,2019-10-03,25,84.0,33,0,0.78,-0.0
647,1,1kg Meat Sauce,Broth_Products,Soup_Broth_Products,2019-10-03,27,45.0,35,0,15.91,-0.08
323,7,30g Bio Thyme,Spices,Spices II,2019-10-03,33,59.0,58,0,2.9,-0.01
124,13,500g Indian Curry,Spices,Spices I,2019-10-03,60,109.0,93,0,6.75,-0.02
314,6,80g Bio Pepper Whole,Spices,Spices II,2019-10-03,33,68.0,61,0,3.87,-0.01
494,9,Spiced Salt for Meat,Spices,Spices I,2019-10-03,8,11.0,9,0,6.99,0.0
2421,2,Pasta Penne,Broth_Products,Soup_Broth_Products,2019-10-10,15,62.0,23,0,0.82,0.0
2551,22,500g Pasta Rigate,Extras,Dough,2019-10-10,29,213.0,117,0,2.76,-0.03
1897,25,150g Chocolate Coatings,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-10-10,44,297.0,124,0,1.82,-0.07
308,6,80g Bio Pepper Whole,Spices,Spices II,2019-10-10,29,57.0,54,0,3.88,0.0
569,18,Fix for Potato Gratin,Broth_Products,Soup_Broth_Products,2019-10-10,30,97.0,48,0,0.79,-0.01
981,21,80g Granulated Onion,Spices,Spices II,2019-10-10,33,63.0,61,0,2.89,-0.0
340,7,30g Bio Thyme,Spices,Spices II,2019-10-10,38,54.0,53,0,2.89,-0.02
2193,8,40g Chilli Pepper,Spices,Spices I,2019-10-10,4,6.0,6,0,2.49,0.0
148,13,500g Indian Curry,Spices,Spices I,2019-10-10,56,119.0,100,0,6.62,-0.04
2278,20,420g Baking Powder,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-10-10,3,3.0,3,0,4.19,0.0
834,3,200g Chocolate Crumble,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-10-10,41,134.0,88,0,1.21,-0.0
879,24,1kg Gnocchi,Extras,Dough,2019-10-10,22,98.0,46,0,2.99,0.0
2396,17,125g Dark Chocolate,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-10-10,53,408.0,193,0,1.29,-0.0
2064,19,190g Chilli Flakes,Spices,Spices I,2019-10-10,17,30.0,26,0,6.69,-0.1
663,1,1kg Meat Sauce,Broth_Products,Soup_Broth_Products,2019-10-10,22,57.0,39,0,15.95,-0.04
1869,16,500g Spaghetti,Extras,Dough,2019-10-10,49,408.0,202,0,1.84,-0.01
1552,11,200g Green Pepper,Spices,Spices I,2019-10-10,34,59.0,47,0,13.43,-0.06
1106,12,45g Pasta,Spices,Spices II,2019-10-10,1,3.0,2,1,3.99,0.0
1352,14,Fine Mushroom Sauce,Broth_Products,Soup_Broth_Products,2019-10-10,28,76.0,40,0,0.88,-0.01
1697,4,500g Speciality Pasta,Extras,Dough,2019-10-10,55,304.0,193,0,1.47,-0.0
1638,15,500g Penne,Extras,Dough,2019-10-10,48,211.0,135,0,1.83,-0.02
521,9,Spiced Salt for Meat,Spices,Spices I,2019-10-10,7,8.0,8,0,6.99,0.0
1,10,Meat Sauce,Broth_Products,Soup_Broth_Products,2019-10-10,22,64.0,30,0,0.89,-0.0
1456,23,25g Pistachios Chopped,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-10-10,42,200.0,93,0,2.95,-0.04
1188,5,30g Bio Savoury Spices,Spices,Spices II,2019-10-10,30,43.0,39,0,2.72,-0.0
1450,23,25g Pistachios Chopped,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-10-17,50,212.0,121,0,2.96,-0.03
2289,20,420g Baking Powder,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-10-17,6,15.0,13,0,4.17,-0.02
656,1,1kg Meat Sauce,Broth_Products,Soup_Broth_Products,2019-10-17,25,59.0,47,0,15.98,-0.01
894,24,1kg Gnocchi,Extras,Dough,2019-10-17,21,89.0,49,0,2.99,-0.0
2378,17,125g Dark Chocolate,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-10-17,51,334.0,178,0,1.29,-0.0
532,18,Fix for Potato Gratin,Broth_Products,Soup_Broth_Products,2019-10-17,27,123.0,38,0,0.81,-0.0
1254,5,30g Bio Savoury Spices,Spices,Spices II,2019-10-17,26,33.0,31,0,2.72,-0.0
151,13,500g Indian Curry,Spices,Spices I,2019-10-17,61,130.0,117,0,6.66,-0.01
215,6,80g Bio Pepper Whole,Spices,Spices II,2019-10-17,42,82.0,74,0,3.85,-0.03
1803,16,500g Spaghetti,Extras,Dough,2019-10-17,59,472.0,236,0,1.83,-0.02
489,9,Spiced Salt for Meat,Spices,Spices I,2019-10-17,1,1.0,1,1,6.99,0.0
2041,19,190g Chilli Flakes,Spices,Spices I,2019-10-17,18,24.0,22,0,6.79,0.0
1544,11,200g Green Pepper,Spices,Spices I,2019-10-17,26,40.0,35,0,13.33,-0.16
1044,21,80g Granulated Onion,Spices,Spices II,2019-10-17,33,55.0,54,0,2.88,-0.01
1621,15,500g Penne,Extras,Dough,2019-10-17,46,227.0,122,0,1.84,-0.01
1056,12,45g Pasta,Spices,Spices II,2019-10-17,4,5.0,5,0,3.99,0.0
367,7,30g Bio Thyme,Spices,Spices II,2019-10-17,31,51.0,48,0,2.91,-0.0
1768,4,500g Speciality Pasta,Extras,Dough,2019-10-17,54,238.0,157,0,1.46,-0.01
2194,8,40g Chilli Pepper,Spices,Spices I,2019-10-17,3,6.0,6,0,2.49,0.0
1309,14,Fine Mushroom Sauce,Broth_Products,Soup_Broth_Products,2019-10-17,22,85.0,31,0,0.89,-0.0
1934,25,150g Chocolate Coatings,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-10-17,47,326.0,144,0,1.81,-0.07
3,10,Meat Sauce,Broth_Products,Soup_Broth_Products,2019-10-17,30,73.0,39,0,0.89,-0.0
793,3,200g Chocolate Crumble,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-10-17,35,116.0,68,0,1.21,-0.0
2509,2,Pasta Penne,Broth_Products,Soup_Broth_Products,2019-10-17,19,61.0,20,0,0.81,-0.0
2520,22,500g Pasta Rigate,Extras,Dough,2019-10-17,30,186.0,120,0,2.79,-0.0
2301,20,420g Baking Powder,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-10-24,5,5.0,5,0,4.14,-0.05
479,9,Spiced Salt for Meat,Spices,Spices I,2019-10-24,7,8.0,8,0,6.63,-0.36
2490,2,Pasta Penne,Broth_Products,Soup_Broth_Products,2019-10-24,27,96.0,33,0,0.52,-0.29
2387,17,125g Dark Chocolate,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-10-24,49,374.0,198,0,1.28,-0.01
920,24,1kg Gnocchi,Extras,Dough,2019-10-24,22,76.0,52,0,2.99,0.0
1355,14,Fine Mushroom Sauce,Broth_Products,Soup_Broth_Products,2019-10-24,18,56.0,26,0,0.89,0.0
164,13,500g Indian Curry,Spices,Spices I,2019-10-24,59,106.0,91,0,6.77,-0.01
955,21,80g Granulated Onion,Spices,Spices II,2019-10-24,41,94.0,89,0,2.89,-0.0
1424,23,25g Pistachios Chopped,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-10-24,54,286.0,161,0,2.98,-0.01
2161,8,40g Chilli Pepper,Spices,Spices I,2019-10-24,2,2.0,2,0,2.42,-0.08
10,10,Meat Sauce,Broth_Products,Soup_Broth_Products,2019-10-24,27,78.0,36,0,0.89,-0.0
756,3,200g Chocolate Crumble,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-10-24,40,115.0,83,0,1.2,-0.01
1659,15,500g Penne,Extras,Dough,2019-10-24,48,287.0,151,0,1.78,-0.07
1219,5,30g Bio Savoury Spices,Spices,Spices II,2019-10-24,19,31.0,25,0,2.71,-0.01
1547,11,200g Green Pepper,Spices,Spices I,2019-10-24,27,45.0,37,0,13.49,0.0
2554,22,500g Pasta Rigate,Extras,Dough,2019-10-24,32,163.0,104,0,2.78,-0.01
2087,19,190g Chilli Flakes,Spices,Spices I,2019-10-24,24,40.0,35,0,6.79,0.0
1712,4,500g Speciality Pasta,Extras,Dough,2019-10-24,59,1295.0,759,0,0.74,-0.0
1847,16,500g Spaghetti,Extras,Dough,2019-10-24,57,453.0,230,0,1.84,-0.01
243,6,80g Bio Pepper Whole,Spices,Spices II,2019-10-24,32,51.0,49,0,3.88,0.0
348,7,30g Bio Thyme,Spices,Spices II,2019-10-24,36,73.0,70,0,2.91,0.0
681,1,1kg Meat Sauce,Broth_Products,Soup_Broth_Products,2019-10-24,29,69.0,51,0,15.99,0.0
1968,25,150g Chocolate Coatings,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-10-24,46,278.0,140,0,1.83,-0.06
1114,12,45g Pasta,Spices,Spices II,2019-10-24,3,4.0,4,0,3.99,0.0
579,18,Fix for Potato Gratin,Broth_Products,Soup_Broth_Products,2019-10-24,35,147.0,48,0,0.8,-0.0
2572,22,500g Pasta Rigate,Extras,Dough,2019-10-31,31,182.0,117,0,2.77,-0.02
2351,17,125g Dark Chocolate,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-10-31,51,351.0,187,0,1.25,-0.04
4,10,Meat Sauce,Broth_Products,Soup_Broth_Products,2019-10-31,23,76.0,31,0,0.89,0.0
1915,25,150g Chocolate Coatings,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-10-31,48,321.0,152,0,1.89,-0.0
659,1,1kg Meat Sauce,Broth_Products,Soup_Broth_Products,2019-10-31,22,66.0,53,0,15.97,-0.02
1786,16,500g Spaghetti,Extras,Dough,2019-10-31,57,421.0,225,0,1.83,-0.01
2011,19,190g Chilli Flakes,Spices,Spices I,2019-10-31,18,28.0,24,0,6.78,-0.01
2253,20,420g Baking Powder,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-10-31,7,8.0,8,0,4.19,0.0
1012,21,80g Granulated Onion,Spices,Spices II,2019-10-31,38,74.0,66,0,2.88,-0.01
362,7,30g Bio Thyme,Spices,Spices II,2019-10-31,36,64.0,64,0,2.9,-0.01
436,9,Spiced Salt for Meat,Spices,Spices I,2019-10-31,9,9.0,9,0,6.99,0.0
2168,8,40g Chilli Pepper,Spices,Spices I,2019-10-31,2,7.0,7,0,2.49,0.0
233,6,80g Bio Pepper Whole,Spices,Spices II,2019-10-31,35,49.0,47,0,3.87,-0.01
1622,15,500g Penne,Extras,Dough,2019-10-31,45,221.0,145,0,1.83,-0.01
1719,4,500g Speciality Pasta,Extras,Dough,2019-10-31,49,248.0,157,0,1.45,-0.0
113,13,500g Indian Curry,Spices,Spices I,2019-10-31,59,120.0,99,0,6.72,-0.02
1524,11,200g Green Pepper,Spices,Spices I,2019-10-31,30,52.0,42,0,13.46,-0.03
1148,12,45g Pasta,Spices,Spices II,2019-10-31,7,13.0,13,0,3.99,0.0
623,18,Fix for Potato Gratin,Broth_Products,Soup_Broth_Products,2019-10-31,52,411.0,113,0,0.46,0.0
2434,2,Pasta Penne,Broth_Products,Soup_Broth_Products,2019-10-31,17,54.0,22,0,0.81,-0.0
753,3,200g Chocolate Crumble,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-10-31,45,165.0,104,0,1.21,-0.0
1408,23,25g Pistachios Chopped,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-10-31,50,222.0,128,0,2.98,-0.01
856,24,1kg Gnocchi,Extras,Dough,2019-10-31,24,104.0,55,0,2.99,0.0
1315,14,Fine Mushroom Sauce,Broth_Products,Soup_Broth_Products,2019-10-31,28,103.0,36,0,0.87,-0.02
1251,5,30g Bio Savoury Spices,Spices,Spices II,2019-10-31,26,33.0,32,0,2.72,-0.0
1511,11,200g Green Pepper,Spices,Spices I,2019-11-07,29,50.0,37,0,13.22,-0.27
577,18,Fix for Potato Gratin,Broth_Products,Soup_Broth_Products,2019-11-07,23,72.0,33,0,0.71,-0.07
1705,4,500g Speciality Pasta,Extras,Dough,2019-11-07,61,350.0,211,0,1.47,-0.0
1896,25,150g Chocolate Coatings,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-11-07,54,516.0,249,0,1.86,-0.03
727,1,1kg Meat Sauce,Broth_Products,Soup_Broth_Products,2019-11-07,28,47.0,41,0,15.74,-0.25
2558,22,500g Pasta Rigate,Extras,Dough,2019-11-07,34,245.0,155,0,1.88,-0.91
1226,5,30g Bio Savoury Spices,Spices,Spices II,2019-11-07,29,42.0,39,0,2.7,-0.02
965,21,80g Granulated Onion,Spices,Spices II,2019-11-07,39,90.0,82,0,2.88,-0.01
1330,14,Fine Mushroom Sauce,Broth_Products,Soup_Broth_Products,2019-11-07,30,94.0,46,0,0.88,-0.01
365,7,30g Bio Thyme,Spices,Spices II,2019-11-07,44,87.0,83,0,2.91,-0.0
461,9,Spiced Salt for Meat,Spices,Spices I,2019-11-07,11,12.0,12,0,6.74,-0.25
87,10,Meat Sauce,Broth_Products,Soup_Broth_Products,2019-11-07,31,119.0,47,0,0.89,0.0
2027,19,190g Chilli Flakes,Spices,Spices I,2019-11-07,20,28.0,28,0,6.74,-0.05
1389,23,25g Pistachios Chopped,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-11-07,61,451.0,231,0,2.98,-0.01
808,3,200g Chocolate Crumble,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-11-07,49,249.0,137,0,1.21,-0.0
1796,16,500g Spaghetti,Extras,Dough,2019-11-07,53,468.0,230,0,1.82,-0.01
277,6,80g Bio Pepper Whole,Spices,Spices II,2019-11-07,36,78.0,73,0,3.88,-0.0
1067,12,45g Pasta,Spices,Spices II,2019-11-07,4,8.0,8,0,3.99,0.0
